    0 107130.952    0.000  242.083   12.814   53.444    0.617  109.485   29.109 
    1 106620.503    0.531  242.250   12.773   53.694    0.618  109.494   29.108 
    2 106294.408    0.344  242.250   12.731   53.833    0.621  110.186   29.308 
    3 105367.964    0.594  242.333   12.627   54.083    0.620  111.375   29.650 
    4 104671.262    0.469  242.389   12.545   54.222    0.624  100.564   28.716 
    5 104000.314    0.562  242.472   12.474   54.278    0.624  101.565   29.010 
    6 103465.352    0.469  242.528   12.414   54.389    0.634  102.948   29.442 
    7 103055.167    0.406  242.611   12.370   54.722    0.656  102.953   29.441 
    8 102449.888    0.500  242.722   12.309   54.833    0.670  103.709   29.700 
    9 101928.852    0.469  242.667   12.233   54.944    0.654  104.071   29.789 
   10 101364.074    0.406  242.806   12.183   55.000    0.656  104.071   29.789 
   11 100732.593    0.500  242.944   12.119   55.250    0.653  104.076   29.788 
   12 100322.828    0.375  243.056   12.082   55.417    0.659  104.081   29.788 
   13 99398.118    0.594  243.417   12.017   55.694    0.645   92.330   28.497 
   14 98795.439    0.500  243.583   11.963   55.806    0.643   93.303   28.882 
   15 98208.186    0.594  243.806   11.921   55.917    0.645   93.304   28.882 
   16 97823.292    0.406  243.917   11.888   56.028    0.647   93.306   28.882 
   17 97232.461    0.562  244.222   11.857   56.250    0.657  105.054   30.146 
   18 96841.734    0.250  244.361   11.825   56.333    0.663  105.054   30.146 
   19 96478.624    0.375  244.389   11.780   56.306    0.675  105.060   30.146 
   20 96151.515    0.469  244.583   11.769   56.306    0.671  105.060   30.146 
   21 95770.241    0.438  244.639   11.725   56.444    0.699  105.068   30.145 
   22 95288.525    0.500  244.861   11.695   56.556    0.656   94.364   29.176 
   23 94590.902    0.562  245.111   11.640   56.722    0.655   94.357   29.177 
   24 94079.675    0.469  245.333   11.606   56.833    0.676   94.355   29.177 
   25 93759.277    0.406  245.528   11.596   56.806    0.670   94.828   29.329 
   26 93106.956    0.500  245.694   11.535   56.944    0.657   82.874   27.831 
   27 92855.820    0.312  245.778   11.511   57.111    0.669   82.878   27.830 
   28 92489.305    0.375  245.917   11.484   57.139    0.658   72.011   26.486 
   29 91945.201    0.375  246.028   11.427   57.222    0.663   83.716   28.111 
   30 91164.674    0.531  246.222   11.350   57.444    0.666   96.887   29.942 
   31 90634.394    0.562  246.472   11.319   57.472    0.660   96.896   29.941 
   32 90093.943    0.500  246.583   11.257   57.778    0.683   98.536   30.476 
   33 89711.229    0.438  246.694   11.218   57.889    0.684   99.623   30.800 
   34 89012.043    0.406  246.889   11.152   58.000    0.657   99.623   30.800 
   35 88632.288    0.375  246.972   11.111   58.083    0.673   99.623   30.800 
   36 88133.777    0.469  247.194   11.076   58.222    0.697   99.621   30.800 
   37 87776.713    0.531  247.333   11.047   58.250    0.695   89.233   29.891 
   38 87520.607    0.438  247.417   11.019   58.444    0.700   89.234   29.891 
   39 87192.037    0.500  247.500   10.985   58.556    0.699   89.232   29.891 
   40 86707.239    0.438  247.694   10.947   58.667    0.698   89.228   29.892 
   41 86433.951    0.281  247.750   10.917   58.694    0.715   76.827   28.198 
   42 86156.678    0.562  247.889   10.897   58.861    0.730   76.822   28.199 
   43 85745.645    0.438  248.028   10.861   58.917    0.738   76.822   28.199 
   44 85107.415    0.469  248.222   10.797   59.139    0.742   76.825   28.199 
   45 84443.870    0.500  248.389   10.732   59.000    0.731   76.831   28.198 
   46 83923.796    0.375  248.528   10.679   59.111    0.725   76.827   28.198 
   47 83352.765    0.469  248.750   10.632   59.194    0.723   76.832   28.198 
   48 82931.802    0.438  248.972   10.604   59.361    0.750   77.195   28.328 
   49 82382.175    0.500  249.083   10.540   59.528    0.751   77.197   28.328 
   50 82036.156    0.281  249.306   10.527   59.528    0.747   64.759   26.368 
   51 81721.018    0.375  249.417   10.497   59.639    0.742   64.761   26.367 
   52 81249.081    0.500  249.667   10.469   59.750    0.740   64.757   26.368 
   53 80914.090    0.500  249.917   10.456   60.000    0.754   64.759   26.368 
   54 80597.666    0.438  250.056   10.426   60.278    0.780   64.760   26.367 
   55 80098.029    0.594  250.306   10.391   60.417    0.745   64.764   26.367 
   56 79453.004    0.469  250.528   10.327   60.583    0.737   64.763   26.367 
   57 78993.655    0.469  250.861   10.313   60.694    0.742   52.554   24.130 
   58 78747.401    0.438  251.000   10.295   60.833    0.747   52.561   24.129 
   59 78165.072    0.438  251.056   10.211   61.083    0.735   52.015   23.860 
   60 77831.759    0.500  251.222   10.190   61.028    0.727   52.016   23.859 
   61 77218.460    0.438  251.333   10.119   60.889    0.729   52.010   23.860 
   62 76595.644    0.656  251.639   10.073   60.972    0.744   52.013   23.860 
   63 76313.826    0.344  251.694   10.036   61.111    0.746   52.015   23.859 
   64 75992.770    0.406  251.889   10.016   61.278    0.741   52.011   23.860 
   65 75459.093    0.438  252.056    9.955   61.528    0.746   52.012   23.860 
   66 75327.504    0.312  252.111    9.942   61.611    0.759   52.003   23.860 
   67 74856.549    0.656  252.278    9.890   61.889    0.792   52.013   23.860 
   68 74396.968    0.594  252.556    9.863   62.056    0.826   64.844   26.339 
   69 74085.807    0.531  252.778    9.848   62.250    0.847   51.857   23.769 
   70 73804.571    0.375  252.917    9.829   62.250    0.873   64.513   26.230 
   71 73370.852    0.406  253.194    9.804   62.333    0.875   78.329   28.741 
   72 72804.895    0.500  253.528    9.771   62.389    0.881   78.327   28.742 
   73 72497.960    0.375  253.500    9.717   62.389    0.879   65.078   26.481 
   74 72188.841    0.406  253.611    9.684   62.556    0.889   65.080   26.481 
   75 71962.112    0.469  253.667    9.653   62.722    0.900   50.903   23.304 
   76 71545.464    0.500  253.944    9.631   62.917    0.895   51.313   23.505 
   77 71356.615    0.469  254.111    9.629   62.889    0.899   51.318   23.504 
   78 71027.456    0.406  254.278    9.602   63.000    0.928   66.806   27.188 
   79 70764.863    0.375  254.472    9.590   63.111    0.948   66.807   27.188 
   80 70460.888    0.281  254.639    9.570   63.111    0.943   66.817   27.187 
   81 69743.432    0.594  254.972    9.511   63.111    0.937   67.846   27.541 
   82 69463.087    0.500  255.083    9.477   63.417    0.981   82.880   30.410 
   83 69219.307    0.438  255.222    9.459   63.528    0.986   82.875   30.410 
   84 68634.189    0.531  255.472    9.407   63.444    0.973   82.878   30.410 
   85 68426.936    0.250  255.528    9.382   63.500    0.972   82.882   30.410 
   86 67998.270    0.625  255.694    9.333   63.778    0.981   82.861   30.411 
   87 67659.688    0.375  255.861    9.301   64.000    1.002   82.861   30.411 
   88 67293.479    0.562  255.889    9.243   64.056    1.005   54.505   24.992 
   89 67191.134    0.250  256.000    9.241   64.194    1.006   54.506   24.992 
   90 66984.556    0.500  256.111    9.222   64.361    1.042   54.504   24.992 
   91 66619.563    0.438  256.278    9.182   64.667    1.074   54.507   24.992 
   92 66417.621    0.344  256.361    9.159   64.778    1.099   54.506   24.992 
   93 65808.668    0.656  256.444    9.067   64.944    1.122   54.509   24.992 
   94 65471.511    0.375  256.556    9.030   64.917    1.129   54.504   24.992 
   95 65226.537    0.625  256.722    9.021   64.778    1.127   68.455   27.816 
   96 64707.456    0.594  256.833    8.955   64.639    1.099   68.446   27.816 
   97 64316.677    0.438  257.139    8.940   64.722    1.089   68.436   27.817 
   98 64023.727    0.469  257.306    8.918   64.750    1.107   68.438   27.817 
   99 63714.548    0.469  257.500    8.900   64.750    1.116   68.439   27.817 
  100 63369.255    0.500  257.556    8.846   64.889    1.131   68.446   27.816 
  101 62888.840    0.531  257.722    8.789   65.000    1.141   68.437   27.817 
  102 62552.529    0.500  257.833    8.752   64.889    1.117   68.744   27.927 
  103 62058.085    0.406  258.000    8.689   65.111    1.107   81.463   29.847 
  104 61889.932    0.406  258.194    8.692   65.139    1.138   81.466   29.847 
  105 61337.245    0.406  258.333    8.618   65.194    1.146   81.466   29.847 
  106 61039.057    0.562  258.472    8.582   65.444    1.177   81.455   29.847 
  107 60847.793    0.438  258.722    8.596   65.361    1.173   81.459   29.847 
  108 60609.011    0.438  258.806    8.570   65.306    1.161   81.465   29.847 
  109 60339.850    0.469  258.889    8.531   65.500    1.166   81.825   29.996 
  110 60021.809    0.406  258.917    8.479   65.417    1.160   81.944   30.035 
  111 59750.778    0.438  259.028    8.453   65.278    1.146   81.952   30.034 
  112 59343.625    0.531  259.278    8.424   65.250    1.137   82.087   30.088 
  113 59022.969    0.500  259.500    8.407   65.250    1.155   69.337   28.195 
  114 58531.807    0.625  259.722    8.353   65.361    1.155   83.985   30.811 
  115 58386.149    0.250  259.778    8.336   65.389    1.165   83.985   30.811 
  116 58135.538    0.344  259.889    8.309   65.417    1.166   83.988   30.811 
  117 57824.554    0.438  260.111    8.289   65.472    1.187   83.989   30.811 
  118 57558.981    0.344  260.278    8.269   65.528    1.202   84.684   31.081 
  119 57449.211    0.344  260.389    8.268   65.556    1.209   84.684   31.081 
  120 57104.342    0.438  260.472    8.216   65.611    1.209   84.685   31.081 
  121 56886.835    0.375  260.694    8.211   65.722    1.214   85.718   31.447 
  122 56672.413    0.375  260.861    8.199   65.778    1.211   98.544   33.006 
  123 56327.085    0.406  261.056    8.169   65.750    1.192   98.543   33.006 
  124 56183.289    0.312  261.222    8.167   65.917    1.204   98.542   33.006 
  125 55803.952    0.469  261.361    8.114   66.111    1.237   98.562   33.004 
  126 55583.592    0.469  261.500    8.096   66.139    1.238   98.553   33.005 
  127 55395.163    0.281  261.583    8.080   66.028    1.231   98.554   33.005 
  128 55201.951    0.469  261.667    8.058   66.000    1.236   98.557   33.004 
  129 54982.705    0.469  261.778    8.029   66.194    1.258   98.566   33.004 
  130 54625.995    0.562  261.972    7.991   66.333    1.264   99.314   33.283 
  131 54233.981    0.469  262.139    7.933   66.722    1.314  101.100   33.858 
  132 53981.798    0.344  262.194    7.892   66.778    1.312  101.100   33.858 
  133 53790.279    0.406  262.194    7.846   67.028    1.357  101.101   33.858 
  134 53615.623    0.375  262.222    7.816   67.028    1.354   88.279   32.368 
  135 53274.449    0.375  262.389    7.778   67.083    1.349  102.241   34.213 
  136 53083.809    0.344  262.556    7.769   67.111    1.346   87.586   32.110 
  137 52942.641    0.344  262.694    7.761   67.250    1.347   87.590   32.110 
  138 52852.815    0.344  262.722    7.745   67.361    1.384   87.590   32.110 
  139 52595.796    0.344  262.889    7.725   67.306    1.379   73.630   29.947 
  140 52248.124    0.531  263.139    7.694   67.528    1.384   88.292   32.367 
  141 51834.028    0.406  263.306    7.646   67.417    1.364   88.295   32.366 
  142 51728.759    0.281  263.417    7.642   67.500    1.377   73.548   29.911 
  143 51598.345    0.562  263.750    7.674   67.528    1.385   73.550   29.911 
  144 51459.798    0.406  263.778    7.651   67.500    1.375   73.551   29.911 
  145 51093.714    0.438  263.972    7.620   67.333    1.376   73.551   29.911 
  146 50829.045    0.531  264.056    7.581   67.306    1.380   59.577   27.378 
  147 50568.537    0.406  264.250    7.560   67.444    1.371   59.577   27.378 
  148 50276.408    0.406  264.417    7.536   67.278    1.351   59.582   27.378 
  149 50034.612    0.344  264.500    7.505   67.194    1.348   59.571   27.379 
  150 49919.201    0.281  264.639    7.504   67.250    1.366   59.570   27.379 
  151 49849.716    0.250  264.694    7.500   67.250    1.364   59.569   27.379 
  152 49451.516    0.594  264.722    7.423   67.306    1.382   59.569   27.379 
  153 49187.845    0.344  264.861    7.394   67.250    1.352   59.569   27.379 
  154 48878.212    0.531  265.139    7.381   67.306    1.345   44.642   23.811 
  155 48718.009    0.312  265.278    7.374   67.250    1.345   44.642   23.811 
  156 48412.954    0.500  265.444    7.340   67.278    1.353   44.642   23.811 
  157 48153.494    0.469  265.500    7.294   67.306    1.346   44.646   23.811 
  158 47925.559    0.531  265.611    7.265   67.389    1.356   44.651   23.811 
  159 47475.010    0.531  265.722    7.191   67.333    1.370   44.643   23.811 
  160 47277.283    0.406  265.833    7.173   67.250    1.354   29.246   18.953 
  161 46904.694    0.500  266.028    7.131   67.222    1.342   43.207   22.976 
  162 46702.883    0.438  266.222    7.123   67.194    1.354   43.181   22.977 
  163 46437.453    0.406  266.417    7.103   67.139    1.351   43.570   23.208 
  164 46237.036    0.469  266.583    7.091   67.139    1.344   43.567   23.208 
  165 45989.638    0.344  266.806    7.076   67.194    1.353   43.570   23.208 
  166 45788.510    0.406  266.944    7.061   67.111    1.352   28.538   18.449 
  167 45700.854    0.375  267.139    7.076   67.194    1.361   28.528   18.449 
  168 45534.288    0.281  267.333    7.069   67.361    1.388   28.532   18.449 
  169 45150.161    0.531  267.556    7.024   67.444    1.411   29.253   18.930 
  170 45119.219    0.219  267.528    7.009   67.500    1.408   29.253   18.930 
  171 44927.227    0.344  267.639    6.991   67.389    1.405   29.268   18.930 
  172 44574.081    0.438  267.778    6.941   67.278    1.388   29.299   18.929 
  173 44364.620    0.688  268.000    6.925   67.528    1.390   29.302   18.928 
  174 44040.642    0.438  268.222    6.901   67.361    1.364   29.300   18.929 
  175 43881.881    0.469  268.389    6.893   67.472    1.376   29.297   18.929 
  176 43730.553    0.406  268.611    6.900   67.500    1.387   29.293   18.929 
  177 43632.140    0.375  268.611    6.872   67.667    1.400   29.293   18.929 
  178 43416.266    0.312  268.694    6.839   67.694    1.416   29.291   18.929 
  179 43208.643    0.438  268.833    6.815   67.806    1.435   29.293   18.929 
  180 42965.766    0.438  268.889    6.773   67.667    1.444   29.286   18.929 
  181 42859.465    0.281  269.083    6.784   67.667    1.442   29.287   18.929 
  182 42783.493    0.281  269.139    6.773   67.722    1.440   29.288   18.929 
  183 42592.370    0.375  269.333    6.758   67.861    1.450   29.295   18.929 
  184 42427.189    0.438  269.528    6.759   67.833    1.456   29.290   18.929 
  185 42194.339    0.312  269.639    6.731   67.694    1.449   29.290   18.929 
  186 42064.461    0.312  269.806    6.733   67.694    1.454   29.283   18.929 
  187 41784.224    0.469  269.972    6.700   67.694    1.462   29.340   18.927 
  188 41636.293    0.406  270.000    6.673   67.667    1.491   29.335   18.927 
  189 41497.398    0.344  270.083    6.654   67.750    1.502   29.339   18.927 
  190 41418.823    0.312  270.111    6.645   67.667    1.494   29.339   18.927 
  191 41261.366    0.531  270.278    6.648   67.389    1.468   29.339   18.927 
  192 41004.128    0.438  270.472    6.619   67.472    1.471   29.330   18.927 
  193 40858.294    0.312  270.639    6.614   67.500    1.475   29.330   18.927 
  194 40727.590    0.188  270.639    6.582   67.556    1.478   29.326   18.928 
  195 40589.891    0.281  270.722    6.562   67.667    1.493   29.319   18.928 
  196 40346.508    0.438  270.917    6.543   67.639    1.492   29.319   18.928 
  197 40248.463    0.281  271.000    6.536   67.639    1.506   29.321   18.928 
  198 40014.577    0.438  271.139    6.509   67.528    1.493   29.322   18.928 
  199 39783.376    0.375  271.222    6.465   67.667    1.514   29.323   18.928 
  200 39617.467    0.438  271.417    6.460   67.778    1.522   29.315   18.928 
  201 39547.821    0.344  271.472    6.455   67.750    1.533   49.714   27.087 
  202 39403.289    0.438  271.528    6.424   67.972    1.576   49.910   27.225 
  203 39245.337    0.375  271.583    6.401   67.861    1.556   49.927   27.224 
  204 39033.768    0.344  271.722    6.376   67.861    1.546   49.930   27.224 
  205 38925.725    0.438  271.778    6.366   67.694    1.530   49.923   27.224 
  206 38709.441    0.500  272.000    6.350   67.778    1.529   49.923   27.224 
  207 38526.335    0.406  272.167    6.333   67.833    1.546   50.400   27.446 
  208 38388.660    0.344  272.333    6.335   67.778    1.544   50.402   27.446 
  209 38213.529    0.375  272.444    6.318   67.667    1.539   50.381   27.447 
  210 38045.324    0.406  272.556    6.295   67.694    1.546   50.369   27.448 
  211 37922.143    0.375  272.639    6.280   67.667    1.538   48.933   26.431 
  212 37673.639    0.531  272.833    6.249   67.861    1.555   48.897   26.433 
  213 37501.333    0.500  273.000    6.243   67.722    1.528   48.418   26.201 
  214 37337.032    0.469  273.167    6.229   67.806    1.540   48.421   26.201 
  215 37236.511    0.188  273.278    6.224   67.806    1.535   48.421   26.201 
  216 37104.303    0.312  273.389    6.216   67.722    1.556   48.422   26.201 
  217 36997.978    0.406  273.528    6.207   67.861    1.590   48.428   26.201 
  218 36857.408    0.281  273.611    6.190   67.806    1.596   48.428   26.201 
  219 36620.756    0.375  273.722    6.153   67.778    1.594   48.428   26.201 
  220 36571.800    0.344  273.806    6.151   67.917    1.608   48.429   26.201 
  221 36439.647    0.562  274.000    6.141   68.222    1.631   48.434   26.200 
  222 36215.430    0.438  274.111    6.117   67.944    1.604   48.433   26.200 
  223 35985.599    0.375  274.222    6.093   67.667    1.575   48.433   26.200 
  224 35790.464    0.406  274.361    6.076   67.417    1.556   48.433   26.200 
  225 35484.547    0.469  274.583    6.048   67.278    1.522   48.437   26.200 
  226 35337.468    0.281  274.667    6.025   67.306    1.525   48.432   26.200 
  227 35248.109    0.250  274.750    6.018   67.306    1.525   48.430   26.201 
